brand,total_events,safety_score
!!! POWERFLEXX,1,1.1178355127399714e-06
!!93-P PROFLEXX,1,1.1178355127399714e-06
!M1,1,1.1178355127399714e-06
"""1.0MM"" SYSTEM TWIST DRILL TW 7X50MM 3MMSTOP W/NTC",1,1.1178355127399714e-06
"""1.5MM"" SYSTEM 1.5X4MM HT SD X-DR SCR 5-PK",1,1.1178355127399714e-06
"""1.5MM"" SYSTEM 1.5X6MM HT SD X-DR SCR",7,7.824848589179799e-06
"""1.5MM"" SYSTEM PLATE 1.5 2 HOLE LONG STRAIGHT",1,1.1178355127399714e-06
"""1.5MM"" SYSTEM TW DRILL 1.1X50MM 15MMSTP W/NT",1,1.1178355127399714e-06
"""1.5MM"" SYSTEM TW DRILL 1.1X50MM 7MMSTOP W/NT",2,2.2356710254799427e-06
"""1.5MM"" SYSTEM TWIST DRILL",2,2.2356710254799427e-06
"""AGGA"", FAGGA, OSSEO-RESTORE APPLIANCE, ARA",1,1.1178355127399714e-06
"""BD FACSCALIBUR BASIC SENSOR UNIT """,1,1.1178355127399714e-06
"""BP-50, BIO-PUMP""",1,1.1178355127399714e-06
"""CO2 LASER""",1,1.1178355127399714e-06
"""COMFORT, COMFORT SHORT, SILHOUETTE, NERIA SOFT, ACCUCHEK TENDER, ACCUCHEK TENDE",3,3.353506538219914e-06
"""CONSOLE, RR5100052 RECON PCPB""",4,4.471342050959885e-06
"""COVID-19 AT-HOME TEST""",1,1.1178355127399714e-06
"""CVS HEALTH AT HOME COVID-19 TEST KIT""",3,3.353506538219914e-06
"""DLP MACRO SUCTION TUBE, 20 FR""",2,2.2356710254799427e-06
"""DREAM SAVER 2"" CPAP",1,1.1178355127399714e-06
"""DREAMSTATION"" CPAP",1,1.1178355127399714e-06
"""GORE- VIATORRI-TIPS ENDOPROSTHESIS WITH CONTROLLED EXPANSION""",1,1.1178355127399714e-06
"""H-STERI X-LARGE, 6.2 OD, 3.2 WC, 10/BX""",2,2.2356710254799427e-06
"""ISOLATOR SYNERGY"""" ENCOMPASS CLAMP AND GUIDE",1,1.1178355127399714e-06
"""ISOLATOR SYNERGY"""" ENCOMPASS CLAMP AND GUIDE """,3,3.353506538219914e-06
"""POWER LOC MAX""",1,1.1178355127399714e-06
