nct_id,brief_title,lead_sponsor,overall_status,phase,_benefit_raw,_cost_raw,_safety_raw,_pool_score
NCT06760637,Study of PF-07220060 With Letrozole in Adults With HR-positive HER2-negative Breast Cancer Who Have Not Received Anticancer Treatment for Advanced/Metastatic Disease,Pfizer,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT06713616,PCORI Comparative Effectiveness Study-Esketamine (Spravato) vs. Ketamine-Equivalence Study,Yale University,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT06711887,Phase III Extension Study of Efficacy and Safety of Ianalumab With or Without Study Treatment Withdrawal in Participants With Lupus Nephritis (SIRIUS-LN Extension),Novartis Pharmaceuticals,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT06706817,A Study to Investigate Changes in Symptoms in Adult Participants With Chronic Rhinosinusitis With Nasal Polyposis Initiating Treatment With Tezepelumab,AstraZeneca,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05674305,Radiotherapy Alone Versus Concurrent Chemo-radiotherapy for Nasopharyngeal Carcincoma Patients With Undectable EBV DNA After One Cylce Neoadjuvant Chemotherpy,Fudan University,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT06703476,A Study of Surgical Techniques During Cystectomy,Memorial Sloan Kettering Cancer Center,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05675410,"A Study to Compare Standard Therapy to Treat Hodgkin Lymphoma to the Use of Two Drugs, Brentuximab Vedotin and Nivolumab",National Cancer Institute (NCI),RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT06701331,Safety and Efficacy of Upadacitinib in Combination With Topical Corticosteroids in Children From 2 to Less Than 12 Years of Age in Japan With Moderate to Severe Atopic Dermatitis,AbbVie,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05677451,"24 Weeks Double-blind Randomized Placebo-controlled Trial to Evaluate Efficacy, PK, Safety of LOU064 in Adolescents (12 - <18) With CSU and Inadequate Response to H1-antihistamine Followed by Optional 3 Years Open-label Extension and an Optional 3 Years Safety Long-term Treatment-free Follow-up",Novartis Pharmaceuticals,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT06698796,A Study to Understand How the Study Medicine Dazukibart Works in People With Idiopathic Inflammatory Myopathies,Pfizer,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT06698042,A Clinical Study of Pembrolizumab (+) Berahyaluronidase Alfa (MK-3475A) to Treat Newly-diagnosed Metastatic Non-small Cell Lung Cancer (MK-3475A-F84),Merck Sharp & Dohme LLC,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05689879,Evaluation of TNF-alpha Antagonists (Infliximab) Withdrawal in Sarcoidosis,Assistance Publique - Hôpitaux de Paris,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05692180,"A Multicentre, Randomised, Double-blind, Parallel Group, Placebo-controlled, Time-to-first Asthma Exacerbation Phase III Efficacy and Safety Study of Benralizumab in Paediatric Patients With Severe Eosinophilic Asthma (DOMINICA)",AstraZeneca,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05696093,Efficacy of Cotrimoxazole as a De-escalation Treatment of Ventilator-Associated Pneumonia in Intensive Care Unit,Assistance Publique - Hôpitaux de Paris,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT06693674,Effect of Sacubitril-Valsartan on Cardiac Structure and Function,Mayo Clinic,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT06692738,A Global Phase III Study of Rilvegostomig or Pembrolizumab Plus Chemotherapy for First-Line Treatment of Metastatic Squamous Non-small Cell Lung Cancer (NSCLC),AstraZeneca,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT06691893,Evaluating the Efficacy of RELiZORB in Managing Exocrine Pancreatic Insufficiency in Tube-fed Pancreatitis Patients,Massachusetts General Hospital,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT06687980,A Study to Investigate Improvement in Pruritus of Lichen Simplex Chronicus With Dupilumab Injections Compared With Placebo in Male and Female Participants Aged at Least 18 Years (STYLE 2),Sanofi,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT06687967,A Study to Investigate Improvement in Pruritus of Lichen Simplex Chronicus With Dupilumab Injections Compared With Placebo in Male and Female Participants Aged at Least 18 Years (STYLE 1),Sanofi,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05711394,A Study to Assess the Adverse Events and Change in Disease Activity of Oral Atogepant Tablets in Pediatric Participants (6-17 Years of Age) With Episodic Migraine,AbbVie,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
