nct_id,lead_sponsor_norm,region_label,benefit_score,estimated_trial_cost,enrollment_feasibility_score,brief_title,overall_status,phase,_benefit_raw,_cost_raw,_safety_raw,_pool_score,_rank_score,_sponsor_count
NCT06744504,"Institute of Hematology & Blood Diseases Hospital, China",UNKNOWN,1.0,2.0,1.0,Standard-dose vs Intermediate-dose Cytarabine Induction in the Treatment of Acute Myeloid Leukemia With RUNX1-RUNX1T1,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.2023472277418049,1
NCT06713616,Yale University,UNKNOWN,1.0,2.0,1.0,PCORI Comparative Effectiveness Study-Esketamine (Spravato) vs. Ketamine-Equivalence Study,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.2023472277418049,1
NCT06691893,Massachusetts General Hospital,UNKNOWN,1.0,2.0,1.0,Evaluating the Efficacy of RELiZORB in Managing Exocrine Pancreatic Insufficiency in Tube-fed Pancreatitis Patients,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.2023472277418049,1
NCT06693674,Mayo Clinic,UNKNOWN,1.0,2.0,1.0,Effect of Sacubitril-Valsartan on Cardiac Structure and Function,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.2023472277418049,1
NCT05582265,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,UNKNOWN,1.0,2.0,1.0,Tislelizumab Combined With Chemotherapy Followed by Surgery Versus Up-front Surgery in Resectable Head and Neck Squamous Cell Carcinoma (REDUCTION-I),RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.2023472277418049,1
NCT05715814,"University Health Network, Toronto",UNKNOWN,1.0,2.0,1.0,meChANisms and sAfety of SGLT2 Inhibition in peRitoneal dialYsis,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.2023472277418049,1
NCT06703476,Memorial Sloan Kettering Cancer Center,UNKNOWN,1.0,2.0,1.0,A Study of Surgical Techniques During Cystectomy,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.2023472277418049,1
NCT06641635,Peking Union Medical College Hospital,UNKNOWN,1.0,2.0,1.0,Moderated Hypofractionated Online Adaptive Radiotherapy in Cervical Cancer,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.2023472277418049,1
NCT05675410,National Cancer Institute (NCI),UNKNOWN,1.0,2.0,1.0,"A Study to Compare Standard Therapy to Treat Hodgkin Lymphoma to the Use of Two Drugs, Brentuximab Vedotin and Nivolumab",RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.15176042080635369,2
NCT05823311,"Second Affiliated Hospital, School of Medicine, Zhejiang University",UNKNOWN,1.0,2.0,1.0,"Lenvatinib, Tislelizumab Combined with Gemcitabine and Cisplatin (GPLET) in the Treatment of Advanced Cholangiocarcinoma",RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.15176042080635369,2
NCT05595642,Hoffmann-La Roche,UNKNOWN,1.0,2.0,1.0,A Study to Evaluate Astegolimab in Participants With Chronic Obstructive Pulmonary Disease,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.15176042080635369,2
NCT06749834,"Second Affiliated Hospital, School of Medicine, Zhejiang University",UNKNOWN,1.0,2.0,1.0,Intravenous Thrombolysis and NOAC,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.15176042080635369,2
NCT05797610,Hoffmann-La Roche,UNKNOWN,1.0,2.0,1.0,A Study to Evaluate the Efficacy and Safety of Sefaxersen (RO7434656) in Participants With Primary Immunoglobulin A (IgA) Nephropathy at High Risk of Progression,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.15176042080635369,2
NCT06687980,Sanofi,UNKNOWN,1.0,2.0,1.0,A Study to Investigate Improvement in Pruritus of Lichen Simplex Chronicus With Dupilumab Injections Compared With Placebo in Male and Female Participants Aged at Least 18 Years (STYLE 2),RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.15176042080635369,2
NCT06687967,Sanofi,UNKNOWN,1.0,2.0,1.0,A Study to Investigate Improvement in Pruritus of Lichen Simplex Chronicus With Dupilumab Injections Compared With Placebo in Male and Female Participants Aged at Least 18 Years (STYLE 1),RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.15176042080635369,2
