var_index,nct_id,brief_title,overall_status,phase,conditions,interventions,location_countries,lead_sponsor,lead_sponsor_norm,region_label,estimated_trial_cost,enrollment_feasibility_score,benefit_score
0,NCT00003042,Chemotherapy and Stem Cell Transplantation in Treating Patients With Stage IIIB Breast Cancer,"Active, not recruiting",Phase 2,['Breast Cancer'],"['filgrastim' 'cisplatin' 'cyclophosphamide' 'doxorubicin hydrochloride'
 'melphalan' 'mesna' 'paclitaxel' 'tamoxifen citrate'
 'bone marrow ablation with stem cell support' 'conventional surgery'
 'peripheral blood stem cell transplantation']",['United States'],City of Hope Medical Center,City of Hope Medical Center,Global / Multi-Region,2.0,1.0,0.6
1,NCT06234631,Cannabidiol for Postoperative Opioid Reduction in Primary Total Knee Arthroplasty,Recruiting,Phase 2,"['Knee Replacement Surgery' 'Osteoarthritis, Knee']",['Epidiolex oral solution' 'Placebo'],['United States'],Chad Brummett,Chad Brummett,Global / Multi-Region,2.0,1.0,0.6
2,NCT06257537,Sustained Acoustic Medicine for Symptomatic Treatment of Knee Pain Related to Osteoarthritis,Recruiting,Phase 2,['Osteo Arthritis Knee' 'Arthritis'],"['Sustained Acoustic Device with 2.5% Diclofenac Patch'
 'Sustained Acoustic Device with 0% Diclofenac Patch'
 '2.5% Diclofenac Patches' 'SAM Patch']",['United States'],"ZetrOZ, Inc.","ZetrOZ, Inc.",Global / Multi-Region,2.0,1.0,0.6
3,NCT06257875,A Study to Assess Adverse Events and Change in Disease Activity From Intravenous (IV) and Subcutaneous (SC) Lutikizumab in Adult Participants With Active Ulcerative Colitis,"Active, not recruiting",Phase 2,['Ulcerative Colitis'],['Lutikizumab' 'Lutikizumab' 'Adalimumab'],"['Australia' 'Austria' 'Belgium' 'Bulgaria' 'Canada' 'Croatia' 'Estonia'
 'France' 'Germany' 'Greece' 'Hungary' 'Ireland' 'Israel' 'Italy' 'Japan'
 'Latvia' 'Lithuania' 'New Zealand' 'Norway' 'Poland' 'Puerto Rico'
 'Serbia' 'Slovenia' 'South Africa' 'South Korea' 'Spain' 'Switzerland'
 'Taiwan' 'United Kingdom' 'United States']",AbbVie,AbbVie,Global / Multi-Region,2.0,1.0,0.6
4,NCT06259123,Neoadjuvant PSMA-RLT in Oligometastatic PCa,Recruiting,Phase 2,['Prostate Cancer'],['[177Lu]Lu-PSMA I&T'],['Austria'],Medical University of Vienna,Medical University of Vienna,Global / Multi-Region,2.0,1.0,0.6
5,NCT06259721,Anti-PD1 Monoclonal Antibody Combined With Nimotuzumab and Capecitabine in Patients With First-line Platinum-resistant Recurrent/Metastatic Nasopharyngeal Carcinoma,Recruiting,Phase 2,['Nasopharyngeal Carcinoma'],"['Anti-PD1 antibody, nimotuzumab and capecitabine']",['China'],Jiangxi Provincial Cancer Hospital,Jiangxi Provincial Cancer Hospital,Global / Multi-Region,2.0,1.0,0.6
6,NCT06259929,"NEOadjuvant Abemaciclib and GIredestrant TriaL in Patients with ER-positive, HER2-negative Early Breast Cancer",Recruiting,Phase 2,['Breast Cancer'],['Abemaciclib 150 MG + Giredestrant 30 MG'],['Italy'],Fondazione Oncotech,Fondazione Oncotech,Global / Multi-Region,2.0,1.0,0.6
7,NCT06260033,Stereotactic Body Radiation Therapy and FES PET/CT Imaging for the Treatment of Oligoprogressive Estrogen Receptor Positive Metastatic Breast Cancer,Recruiting,Phase 2,"['Anatomic Stage IV Breast Cancer AJCC v8'
 'Estrogen Receptor-Positive Breast Carcinoma'
 'Metastatic Breast Carcinoma']","['Biospecimen Collection' 'Bone Scan' 'Computed Tomography'
 'F-18 16 Alpha-Fluoroestradiol' 'Positron Emission Tomography'
 'Questionnaire Administration' 'Stereotactic Body Radiation Therapy']",['United States'],City of Hope Medical Center,City of Hope Medical Center,Global / Multi-Region,2.0,1.0,0.6
8,NCT06260072,Magnesium and Riboflavin Treatment for Post-Concussion Headache,Recruiting,Phase 2,"['Concussion, Intermediate']",['magnesium and riboflavin supplement'],['United States'],University of Virginia,University of Virginia,Global / Multi-Region,2.0,1.0,0.6
9,NCT06260553,Metronomic Oral Vinorelbine Combination With Tislelizumab in EGFR/ALK-negative Advanced NSCLC,Enrolling by invitation,Phase 2,['EGFR/ ALK-negative Advanced NSCLC'],['tislelizumab and metronomic oral vinorelbine'],['China'],Fujian Cancer Hospital,Fujian Cancer Hospital,Global / Multi-Region,2.0,1.0,0.6
