K,lambda_cost,lambda_safety,noise_sigma,pool_size,penalty_A,shots,objective_mean,objective_std,objective_norm_mean,jaccard_mean,jaccard_std,n_runs
6,0.5,2.0,0.0,6,10.0,1024,12.0,0.0,1.0,1.0,0.0,3
6,1.0,2.0,0.0,6,10.0,1024,12.0,0.0,1.0,1.0,0.0,3
6,2.0,2.0,0.0,6,10.0,1024,12.0,0.0,1.0,1.0,0.0,3
6,2.0,2.0,0.1,6,10.0,1024,8.453291693065554,2.197481605057874,0.7382619464897763,1.0,0.0,3
6,2.0,2.0,0.05,6,10.0,1024,8.433709411929202,2.206996255107653,0.7368168239411027,1.0,0.0,3
6,0.5,1.0,0.0,6,10.0,1024,6.0,0.0,0.5572152584437589,1.0,0.0,3
6,1.0,1.0,0.0,6,10.0,1024,6.0,0.0,0.5572152584437589,1.0,0.0,3
6,2.0,1.0,0.0,6,10.0,1024,6.0,0.0,0.5572152584437589,1.0,0.0,3
3,0.5,2.0,0.0,6,10.0,1024,6.0,0.0,0.5572152584437589,0.5,0.0,3
3,1.0,2.0,0.0,6,10.0,1024,6.0,0.0,0.5572152584437589,0.5,0.0,3
