lambda_cost,lambda_safety,noise_sigma,greedy_objective_mean,greedy_objective_std,greedy_objective_norm_mean,greedy_objective_norm_std,greedy_jaccard_vs_baseline_mean,greedy_jaccard_vs_baseline_std,greedy_selected_n_mean,greedy_selected_n_std,greedy_total_benefit_mean,greedy_total_benefit_std,greedy_total_cost_mean,greedy_total_cost_std,greedy_total_safety_mean,greedy_total_safety_std,qaoa_objective_mean,qaoa_objective_std,qaoa_objective_norm_mean,qaoa_objective_norm_std,qaoa_jaccard_vs_baseline_mean,qaoa_jaccard_vs_baseline_std,qaoa_selected_n_mean,qaoa_selected_n_std,qaoa_total_benefit_mean,qaoa_total_benefit_std,qaoa_total_cost_mean,qaoa_total_cost_std,qaoa_total_safety_mean,qaoa_total_safety_std,delta_objective_mean,delta_objective_norm_mean,delta_jaccard_vs_baseline_mean,delta_selected_n_mean,_join_mode
0.5,0.5,0.0,-20.0,8.451542547285166,0.9263054781460645,0.03331366025674384,0.7222222222222222,0.2151657414559676,50.0,21.128856368212915,30.0,12.67731382092775,100.0,42.25771273642583,0.0,0.0,-3.6000000000000005,1.0392304845413272,0.9546151075508686,0.026621794200806206,0.6237373737373737,0.21079809209055345,9.0,2.598076211353316,5.3999999999999995,1.5588457268119893,18.0,5.196152422706632,0.0,0.0,16.4,0.028309629404804193,-0.09848484848484851,-41.0,loose_on_lambdas_noise__K_marginalized
0.5,1.0,0.0,-20.0,8.451542547285166,0.9263054781460645,0.03331366025674384,0.7222222222222222,0.2151657414559676,50.0,21.128856368212915,30.0,12.67731382092775,100.0,42.25771273642583,0.0,0.0,-3.6000000000000005,1.0392304845413272,0.9546151075508686,0.026621794200806206,0.6237373737373737,0.21079809209055345,9.0,2.598076211353316,5.3999999999999995,1.5588457268119893,18.0,5.196152422706632,0.0,0.0,16.4,0.028309629404804193,-0.09848484848484851,-41.0,loose_on_lambdas_noise__K_marginalized
0.5,2.0,0.0,-20.0,8.451542547285166,0.9263054781460645,0.03331366025674384,0.7222222222222222,0.2151657414559676,50.0,21.128856368212915,30.0,12.67731382092775,100.0,42.25771273642583,0.0,0.0,-3.6000000000000005,1.0392304845413272,0.9546151075508686,0.026621794200806206,0.6237373737373737,0.21079809209055345,9.0,2.598076211353316,5.3999999999999995,1.5588457268119893,18.0,5.196152422706632,0.0,0.0,16.4,0.028309629404804193,-0.09848484848484851,-41.0,loose_on_lambdas_noise__K_marginalized
0.5,0.5,0.05,-11.941932246286887,5.352319605516627,0.9580681687994118,0.02109737434629206,0.00332297106490654,0.005007969704945148,50.0,21.128856368212915,32.564632386729414,13.609347408765712,89.01312926603259,37.9204665548006,0.0,0.0,-3.421907336248096,1.1007383305949396,0.9591772776503813,0.028197430446789615,0.5681818181818181,0.15868454595191983,9.0,2.598076211353316,5.4686468737498295,1.5400520483044873,17.78110841999585,5.279145089999629,0.0,0.0,8.520024910038792,0.0011091088509694869,0.5648588471169116,-41.0,loose_on_lambdas_noise__K_marginalized
0.5,1.0,0.05,-11.941932246286887,5.352319605516627,0.9580681687994118,0.02109737434629206,0.00332297106490654,0.005007969704945148,50.0,21.128856368212915,32.564632386729414,13.609347408765712,89.01312926603259,37.9204665548006,0.0,0.0,-3.421907336248096,1.1007383305949396,0.9591772776503813,0.028197430446789615,0.5681818181818181,0.15868454595191983,9.0,2.598076211353316,5.4686468737498295,1.5400520483044873,17.78110841999585,5.279145089999629,0.0,0.0,8.520024910038792,0.0011091088509694869,0.5648588471169116,-41.0,loose_on_lambdas_noise__K_marginalized
0.5,2.0,0.05,-11.941932246286887,5.352319605516627,0.9580681687994118,0.02109737434629206,0.00332297106490654,0.005007969704945148,50.0,21.128856368212915,32.564632386729414,13.609347408765712,89.01312926603259,37.9204665548006,0.0,0.0,-3.421907336248096,1.1007383305949396,0.9591772776503813,0.028197430446789615,0.5681818181818181,0.15868454595191983,9.0,2.598076211353316,5.4686468737498295,1.5400520483044873,17.78110841999585,5.279145089999629,0.0,0.0,8.520024910038792,0.0011091088509694869,0.5648588471169116,-41.0,loose_on_lambdas_noise__K_marginalized
1.0,0.5,0.0,-70.0,29.58039891549808,0.7292192062000934,0.11659781089860333,0.7222222222222222,0.2151657414559676,50.0,21.128856368212915,30.0,12.67731382092775,100.0,42.25771273642583,0.0,0.0,-12.600000000000001,3.6373066958946425,0.7240636068286744,0.09317627970282176,0.6388888888888888,0.19399709132275575,9.0,2.598076211353316,5.3999999999999995,1.5588457268119893,18.0,5.196152422706632,0.0,0.0,57.4,-0.005155599371418962,-0.08333333333333337,-41.0,loose_on_lambdas_noise__K_marginalized
1.0,2.0,0.0,-70.0,29.58039891549808,0.7292192062000934,0.11659781089860333,0.7222222222222222,0.2151657414559676,50.0,21.128856368212915,30.0,12.67731382092775,100.0,42.25771273642583,0.0,0.0,-12.600000000000001,3.6373066958946425,0.7240636068286744,0.09317627970282176,0.6388888888888888,0.19399709132275575,9.0,2.598076211353316,5.3999999999999995,1.5588457268119893,18.0,5.196152422706632,0.0,0.0,57.4,-0.005155599371418962,-0.08333333333333337,-41.0,loose_on_lambdas_noise__K_marginalized
1.0,1.0,0.0,-70.0,29.58039891549808,0.7292192062000934,0.11659781089860333,0.7222222222222222,0.2151657414559676,50.0,21.128856368212915,30.0,12.67731382092775,100.0,42.25771273642583,0.0,0.0,-12.600000000000001,3.6373066958946425,0.7240636068286744,0.09317627970282176,0.6388888888888888,0.19399709132275575,9.0,2.598076211353316,5.3999999999999995,1.5588457268119893,18.0,5.196152422706632,0.0,0.0,57.4,-0.005155599371418962,-0.08333333333333337,-41.0,loose_on_lambdas_noise__K_marginalized
0.5,0.5,0.1,-4.176407284481911,2.389082939962996,0.9886777360879222,0.009417109000140634,0.0026495703915058668,0.004701177241912716,50.0,21.128856368212915,36.18576134939061,14.917270574377522,80.72433726774506,34.58510471775818,0.0,0.0,-3.24267906703596,1.1716441878848298,0.9637685383657923,0.030013813981031548,0.553030303030303,0.17196302216388135,9.0,2.598076211353316,5.540754199854864,1.530688089619791,17.56686653378165,5.396849213759418,0.0,0.0,0.9337282174459509,-0.02490919772212985,0.5503807326387972,-41.0,loose_on_lambdas_noise__K_marginalized
