K,lambda_cost,lambda_safety,noise_sigma,score_mean,score_std,stability_jaccard_mean,stability_jaccard_std,n_runs
9,0.5,0.5,0.0,0.0,0.0,1.0,0.0,3
9,0.5,1.0,0.0,0.0,0.0,1.0,0.0,3
9,0.5,2.0,0.0,0.0,0.0,1.0,0.0,3
9,1.0,0.5,0.0,9.0,0.0,1.0,0.0,3
9,1.0,1.0,0.0,9.0,0.0,1.0,0.0,3
9,1.0,2.0,0.0,9.0,0.0,1.0,0.0,3
9,2.0,0.5,0.0,27.0,0.0,1.0,0.0,3
9,2.0,1.0,0.0,27.0,0.0,1.0,0.0,3
9,2.0,2.0,0.0,27.0,0.0,1.0,0.0,3
12,0.5,0.5,0.0,0.0,0.0,0.75,0.0,3
12,0.5,1.0,0.0,0.0,0.0,0.75,0.0,3
12,0.5,2.0,0.0,0.0,0.0,0.75,0.0,3
12,1.0,0.5,0.0,12.0,0.0,0.75,0.0,3
12,1.0,1.0,0.0,12.0,0.0,0.75,0.0,3
12,1.0,2.0,0.0,12.0,0.0,0.75,0.0,3
