K,lambda_cost,lambda_safety,noise_sigma,pool_size,p,shots,qubo_energy_best_mean,qubo_energy_best_std,jaccard_mean,jaccard_std,n_runs
6,0.5,0.5,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
6,0.5,1.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
6,0.5,2.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
6,1.0,0.5,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
6,1.0,1.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
6,1.0,2.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
6,2.0,0.5,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
6,2.0,1.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
6,2.0,2.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
9,0.5,0.5,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
9,0.5,1.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
9,0.5,2.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
9,1.0,0.5,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
9,1.0,1.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
9,1.0,2.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
9,2.0,0.5,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
9,2.0,1.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
9,2.0,2.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
12,0.5,0.5,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
12,0.5,1.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
12,0.5,2.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
12,1.0,0.5,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
12,1.0,1.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
12,1.0,2.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
12,2.0,0.5,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
12,2.0,1.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
12,2.0,2.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
6,0.5,0.5,0.05,12,1,256,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.07142492739258059,3
6,0.5,1.0,0.05,12,1,256,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.07142492739258059,3
6,0.5,2.0,0.05,12,1,256,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.07142492739258059,3
6,1.0,0.5,0.05,12,1,256,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.07142492739258059,3
6,1.0,1.0,0.05,12,1,256,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.07142492739258059,3
6,1.0,2.0,0.05,12,1,256,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.07142492739258059,3
6,2.0,0.5,0.05,12,1,256,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.07142492739258059,3
6,2.0,1.0,0.05,12,1,256,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.07142492739258059,3
6,2.0,2.0,0.05,12,1,256,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.07142492739258059,3
9,0.5,0.5,0.05,12,1,256,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.07142492739258059,3
9,0.5,1.0,0.05,12,1,256,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.07142492739258059,3
9,0.5,2.0,0.05,12,1,256,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.07142492739258059,3
9,1.0,0.5,0.05,12,1,256,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.07142492739258059,3
9,1.0,1.0,0.05,12,1,256,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.07142492739258059,3
9,1.0,2.0,0.05,12,1,256,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.07142492739258059,3
9,2.0,0.5,0.05,12,1,256,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.07142492739258059,3
9,2.0,1.0,0.05,12,1,256,-1002.0760732155926,8.574887613560142,0.7171717171717171,0.07142492739258059,3
