K,lambda_cost,lambda_safety,noise_sigma,pool_size,p,shots,qubo_energy_best_mean,qubo_energy_best_std,jaccard_mean,jaccard_std,n_runs
6,0.5,0.5,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
6,0.5,1.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
6,0.5,2.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
6,1.0,0.5,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
6,1.0,1.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
6,1.0,2.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
6,2.0,0.5,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
6,2.0,1.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
6,2.0,2.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
9,0.5,0.5,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
9,0.5,1.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
9,0.5,2.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
9,1.0,0.5,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
9,1.0,1.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
9,1.0,2.0,0.0,12,1,256,-990.0,0.0,0.7777777777777777,0.15713484026367724,3
