method,K,lambda_cost,lambda_safety,noise_sigma,objective_mean,objective_std,jaccard_mean,jaccard_std,n_runs,objective_norm_mean
greedy,9,0.5,0.5,0.0,0.0,0.0,1.0,0.0,3,1.1483921600894248e-10
greedy,9,0.5,1.0,0.0,0.0,0.0,1.0,0.0,3,1.1483921600894248e-10
greedy,9,0.5,2.0,0.0,0.0,0.0,1.0,0.0,3,1.1483921600894248e-10
greedy,9,1.0,0.5,0.0,9.0,0.0,1.0,0.0,3,0.25000000008612244
greedy,9,1.0,1.0,0.0,9.0,0.0,1.0,0.0,3,0.25000000008612244
greedy,9,1.0,2.0,0.0,9.0,0.0,1.0,0.0,3,0.25000000008612244
greedy,9,2.0,0.5,0.0,27.0,0.0,1.0,0.0,3,0.7500000000286888
greedy,9,2.0,1.0,0.0,27.0,0.0,1.0,0.0,3,0.7500000000286888
greedy,9,2.0,2.0,0.0,27.0,0.0,1.0,0.0,3,0.7500000000286888
greedy,12,0.5,0.5,0.0,0.0,0.0,0.75,0.0,3,1.1483921600894248e-10
qaoa,6,0.5,0.5,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,6,0.5,1.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,6,0.5,2.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,6,1.0,0.5,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,6,1.0,1.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,6,1.0,2.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,6,2.0,0.5,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,6,2.0,1.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,6,2.0,2.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,9,0.5,0.5,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
