nct_id,full_index,brief_title,overall_status,phase,lead_sponsor
NCT06749899,28,QL1706 (PD-1/CTLA-4 Bi-specific Antibody) and Chemoradiotherapy in Locoregionally-advanced Nasopharyngeal Carcinoma.,RECRUITING,PHASE3,Sun Yat-sen University
NCT06744504,31,Standard-dose vs Intermediate-dose Cytarabine Induction in the Treatment of Acute Myeloid Leukemia With RUNX1-RUNX1T1,RECRUITING,PHASE3,"Institute of Hematology & Blood Diseases Hospital, China"
NCT06742723,32,A Phase III Renal Outcomes and Cardiovascular Mortality Study to Investigate the Efficacy and Safety of Baxdrostat in Combination With Dapagliflozin in Participants With Chronic Kidney Disease and High Blood Pressure,RECRUITING,PHASE3,AstraZeneca
NCT06739122,36,A Study of Dulaglutide (LY2189265) 3.0 mg and 4.5 mg in Pediatric Participants With Type 2 Diabetes Mellitus (AWARD-PEDS PLUS),RECRUITING,PHASE3,Eli Lilly and Company
NCT05611801,39,A Clinical Trial of Study Medicine (Marstacimab) in Pediatric Patients With Hemophilia A or Hemophilia B,RECRUITING,PHASE3,Pfizer
NCT05623020,41,"A Study to Learn About the Effects of the Combination of Elranatamab (PF-06863135), Daratumumab, Lenalidomide or Elranatamab and Lenalidomide Compared With Daratumumab, Lenalidomide, and Dexamethasone in Patients With Newly Diagnosed Multiple Myeloma Who Are Not Candidates for Transplant",RECRUITING,PHASE3,Pfizer
NCT05624450,42,Efficacy and Safety of Tozorakimab in Patients Hospitalised for Viral Lung Infection Requiring Supplemental Oxygen,RECRUITING,PHASE3,AstraZeneca
NCT06732401,45,Testing the Addition of AZD6738 (Ceralasertib) to Immunotherapy to Increase Time Without Cancer for Patients With Non-Small Cell Lung Cancer,RECRUITING,PHASE3,National Cancer Institute (NCI)
NCT05577988,50,Assessment of an Early De-Escalation to a Low-potency Single Antiplatelet Therapy Guided by Genetics Versus a Systematic High-Potency Single Antiplatelet Therapy to Neutralize Bleeding Complications in Patients With High Bleeding Risk Beyond One Month After an Acute Coronary Syndrome,RECRUITING,PHASE3,Assistance Publique - Hôpitaux de Paris
NCT05794971,52,Regorafenib Combined With Irinotecan Drug-Eluting Beads for Colorectal Cancer Liver Metastases,RECRUITING,PHASE3,Sun Yat-sen University
