nct_id,brief_title,overall_status,phase,conditions,interventions,location_countries,lead_sponsor,lead_sponsor_norm,region_label,estimated_trial_cost,enrollment_feasibility_score,benefit_score
NCT00002462,RT or No RT Following Chemotherapy in Treating Patients With Stage III/IV Hodgkin's Disease,"Active, not recruiting",Phase 3,['Lymphoma'],"['bleomycin sulfate' 'doxorubicin hydrochloride'
 'mechlorethamine hydrochloride' 'prednisone' 'procarbazine hydrochloride'
 'vinblastine sulfate' 'vincristine sulfate'
 'low-LET cobalt-60 gamma ray therapy' 'low-LET photon therapy'
 'radiation therapy']","['Belgium' 'Egypt' 'France' 'Germany' 'Italy' 'Netherlands' 'Poland'
 'Portugal' 'Slovenia']",European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer - EORTC,Global / Multi-Region,4.0,1.0,0.8
NCT00003042,Chemotherapy and Stem Cell Transplantation in Treating Patients With Stage IIIB Breast Cancer,"Active, not recruiting",Phase 2,['Breast Cancer'],"['filgrastim' 'cisplatin' 'cyclophosphamide' 'doxorubicin hydrochloride'
 'melphalan' 'mesna' 'paclitaxel' 'tamoxifen citrate'
 'bone marrow ablation with stem cell support' 'conventional surgery'
 'peripheral blood stem cell transplantation']",['United States'],City of Hope Medical Center,City of Hope Medical Center,Global / Multi-Region,2.0,1.0,0.6
NCT00003641,High-Dose Interferon Alfa in Treating Patients With Stage II or Stage III Melanoma,"Active, not recruiting",Phase 3,['Melanoma (Skin)'],['interferon alfa-2b' 'observation'],['Australia' 'Canada' 'South Africa' 'United States'],ECOG-ACRIN Cancer Research Group,ECOG-ACRIN Cancer Research Group,Global / Multi-Region,4.0,1.0,0.8
NCT00005584,Combination Chemotherapy With or Without Radiation Therapy in Treating Patients With Hodgkin's Lymphoma,"Active, not recruiting",Phase 3,['Lymphoma'],"['bleomycin sulfate' 'ABVD regimen' 'BEACOPP regimen'
 'epirubicin hydrochloride' 'prednisone' 'vinblastine sulfate'
 'radiation therapy']","['Belgium' 'France' 'Italy' 'Netherlands' 'Poland' 'Portugal' 'Slovakia'
 'Slovenia' 'Spain' 'Switzerland']",European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer - EORTC,Global / Multi-Region,4.0,1.0,0.8
NCT00006721,S0016 Combination Chemotherapy With Monoclonal Antibody Therapy in Newly Diagnosed Non-Hodgkin's Lymphoma,"Active, not recruiting",Phase 3,['Lymphoma'],"['rituximab' 'cyclophosphamide' 'doxorubicin' 'prednisone' 'vincristine'
 'tositumomab']",['United States'],SWOG Cancer Research Network,SWOG Cancer Research Network,Global / Multi-Region,4.0,1.0,0.8
NCT00007150,Treatment of Hemochromatosis,"Active, not recruiting",Phase 2,['Hemochromatosis'],['Phlebotomy'],['United States'],National Institutes of Health Clinical Center (CC),National Institutes of Health Clinical Center (CC),Global / Multi-Region,2.0,1.0,0.6
NCT00018057,Study of Neuro-Cognitive Correlates of Pediatric Anxiety Disorders,Recruiting,Phase 2,['Anxiety Disorders' 'Major Depressive Disorder'],['Attention Bias Modification Training' 'Fluoxetine'],['United States'],National Institute of Mental Health (NIMH),National Institute of Mental Health (NIMH),Global / Multi-Region,2.0,1.0,0.6
NCT00026312,"Isotretinoin With or Without Dinutuximab, Aldesleukin, and Sargramostim Following Stem Cell Transplant in Treating Patients With Neuroblastoma","Active, not recruiting",Phase 3,"['Localized Resectable Neuroblastoma'
 'Localized Unresectable Neuroblastoma' 'Recurrent Neuroblastoma'
 'Regional Neuroblastoma' 'Stage 4 Neuroblastoma' 'Stage 4S Neuroblastoma']","['Aldesleukin' 'Dinutuximab' 'Isotretinoin'
 'Laboratory Biomarker Analysis' 'Pharmacological Study'
 'Quality-of-Life Assessment' 'Sargramostim']",['Australia' 'Canada' 'New Zealand' 'Puerto Rico' 'United States'],National Cancer Institute (NCI),National Cancer Institute (NCI),Global / Multi-Region,4.0,1.0,0.8
NCT00044304,Tyrosine Kinase Inhibition to Treat Myeloid Hypereosinophilic Syndrome,Recruiting,Phase 2,['Eosinophilic Myeloid Neoplasm' 'Hypereosinophilic Syndrome'],['Imatinib' 'Ruxolitinib'],['United States'],National Institute of Allergy and Infectious Diseases (NIAID),National Institute of Allergy and Infectious Diseases (NIAID),Global / Multi-Region,2.0,1.0,0.6
NCT00070499,Imatinib Mesylate or Dasatinib in Treating Patients With Previously Untreated Chronic Phase Chronic Myelogenous Leukemia,"Active, not recruiting",Phase 2,"['Chronic Myeloid Leukemia, BCR-ABL1 Positive']",['Dasatinib' 'Imatinib Mesylate' 'Laboratory Biomarker Analysis'],['Canada' 'United States'],National Cancer Institute (NCI),National Cancer Institute (NCI),Global / Multi-Region,2.0,1.0,0.6
NCT00070564,"S0221 Adjuvant Doxorubicin, Cyclophosphamide, and Paclitaxel in Treating Patients With Breast Cancer","Active, not recruiting",Phase 3,['Breast Cancer'],"['pegfilgrastim' 'AC regimen' 'cyclophosphamide'
 'doxorubicin hydrochloride' 'paclitaxel']",['Canada' 'Puerto Rico' 'United States'],SWOG Cancer Research Network,SWOG Cancer Research Network,Global / Multi-Region,4.0,1.0,0.8
NCT00076310,OSI-774/Cisplatin/Taxotere in Head & Neck Squamous Cell Cancer,"Active, not recruiting",Phase 2,['Head and Neck Cancer'],['Docetaxel' 'OSI-774' 'Cisplatin'],['United States'],M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,Global / Multi-Region,2.0,1.0,0.6
