nct_id,brief_title,overall_status,phase,conditions,interventions,location_countries,lead_sponsor,lead_sponsor_norm,region_label,estimated_trial_cost,enrollment_feasibility_score,benefit_score
NCT00003042,Chemotherapy and Stem Cell Transplantation in Treating Patients With Stage IIIB Breast Cancer,"Active, not recruiting",Phase 2,['Breast Cancer'],"['filgrastim' 'cisplatin' 'cyclophosphamide' 'doxorubicin hydrochloride'
 'melphalan' 'mesna' 'paclitaxel' 'tamoxifen citrate'
 'bone marrow ablation with stem cell support' 'conventional surgery'
 'peripheral blood stem cell transplantation']",['United States'],City of Hope Medical Center,City of Hope Medical Center,Global / Multi-Region,2.0,1.0,0.6
NCT00007150,Treatment of Hemochromatosis,"Active, not recruiting",Phase 2,['Hemochromatosis'],['Phlebotomy'],['United States'],National Institutes of Health Clinical Center (CC),National Institutes of Health Clinical Center (CC),Global / Multi-Region,2.0,1.0,0.6
NCT00018057,Study of Neuro-Cognitive Correlates of Pediatric Anxiety Disorders,Recruiting,Phase 2,['Anxiety Disorders' 'Major Depressive Disorder'],['Attention Bias Modification Training' 'Fluoxetine'],['United States'],National Institute of Mental Health (NIMH),National Institute of Mental Health (NIMH),Global / Multi-Region,2.0,1.0,0.6
NCT00044304,Tyrosine Kinase Inhibition to Treat Myeloid Hypereosinophilic Syndrome,Recruiting,Phase 2,['Eosinophilic Myeloid Neoplasm' 'Hypereosinophilic Syndrome'],['Imatinib' 'Ruxolitinib'],['United States'],National Institute of Allergy and Infectious Diseases (NIAID),National Institute of Allergy and Infectious Diseases (NIAID),Global / Multi-Region,2.0,1.0,0.6
NCT00070499,Imatinib Mesylate or Dasatinib in Treating Patients With Previously Untreated Chronic Phase Chronic Myelogenous Leukemia,"Active, not recruiting",Phase 2,"['Chronic Myeloid Leukemia, BCR-ABL1 Positive']",['Dasatinib' 'Imatinib Mesylate' 'Laboratory Biomarker Analysis'],['Canada' 'United States'],National Cancer Institute (NCI),National Cancer Institute (NCI),Global / Multi-Region,2.0,1.0,0.6
NCT00076310,OSI-774/Cisplatin/Taxotere in Head & Neck Squamous Cell Cancer,"Active, not recruiting",Phase 2,['Head and Neck Cancer'],['Docetaxel' 'OSI-774' 'Cisplatin'],['United States'],M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,Global / Multi-Region,2.0,1.0,0.6
NCT00077285,Irinotecan and Carboplatin as Upfront Window Therapy in Treating Patients With Newly Diagnosed Intermediate-Risk or High-Risk Rhabdomyosarcoma,"Active, not recruiting",Phase 2,['Sarcoma'],"['filgrastim' 'carboplatin' 'cyclophosphamide' 'dexrazoxane hydrochloride'
 'doxorubicin hydrochloride' 'etoposide' 'ifosfamide'
 'irinotecan hydrochloride' 'vincristine sulfate' 'conventional surgery'
 'radiation therapy']",['United States'],Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Global / Multi-Region,2.0,1.0,0.6
NCT00080756,Deslorelin Combined With Low-Dose Add-Back Estradiol and Testosterone in Preventing Breast Cancer in Premenopausal Women Who Are at High Risk for This Disease,"Active, not recruiting",Phase 2,['brca1 Mutation Carrier' 'brca2 Mutation Carrier' 'Breast Cancer'],"['therapeutic estradiol' 'deslorelin' 'therapeutic testosterone'
 'therapeutic conventional surgery' 'active surveillance'
 'quality-of-life assessment' 'laboratory biomarker analysis']",['United States'],City of Hope Medical Center,City of Hope Medical Center,Global / Multi-Region,2.0,1.0,0.6
NCT00082706,"Fluorouracil, Leucovorin, Gemcitabine, and Cisplatin in Treating Patients With Metastatic or Unresectable Adenocarcinoma of the Urothelium or Urachal Remnant","Active, not recruiting",Phase 2,['Bladder Cancer' 'Urethral Cancer' 'Urachal Cancer'],['5-Fluorouracil (5-FU)' 'Leucovorin' 'Cisplatin' 'Gemcitabine'],['United States'],M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,Global / Multi-Region,2.0,1.0,0.6
NCT00085982,Effect of Metreleptin Therapy in the Treatment of Severe Insulin Resistance,"Active, not recruiting",Phase 2,['Severe Insulin Resistance'],['Metreleptin'],['United States'],National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Global / Multi-Region,2.0,1.0,0.6
