nct_id,brief_title,overall_status,phase,conditions,interventions,location_countries,lead_sponsor,lead_sponsor_norm,region_label,estimated_trial_cost,enrollment_feasibility_score,benefit_score,qubo_var_index,_benefit_raw,_cost_raw,_feas_raw,_benefit,_cost,_safety,config_id,K,lambda_cost,lambda_safety,noise_sigma,seed,pool_size,penalty_A,shots,gamma_0,beta_0
NCT05823714,Venetoclax+Azacytidine+Modified BUCY Conditioning Regimen for Acute Myeloid Leukemia and Myelodysplastic Syndromes Undergoing Allo-HSCT,Recruiting,Phase 2,"['Allogeneic Hematopoietic Stem Cell Transplantation'
 'Acute Myeloid Leukemia' 'Myelodysplastic Syndrome']",['VEN+AZA+Modified BUCY'],['China'],The First Affiliated Hospital of Soochow University,The First Affiliated Hospital of Soochow University,Global / Multi-Region,2.0,1.0,0.6,1,0.6,2.0,1.0,0.0,0.0,1.0,K6_lc0.5_ls2.0_sig0.0_seed0_pool6_shots1024_A10.0,6,0.5,2.0,0.0,0,6,10.0,1024,1.2666666666666666,0.7333333333333334
NCT05821556,Valproic Acid/Simvastatin Plus Gemcitabine/Nab-paclitaxel Based Regimens in Untreated Metastatic Pancreatic Adenocarcinoma Patients,Recruiting,Phase 2,['Adenocarcinoma of the Pancreas'],"['Valproic acid' 'Simvastatin 20mg' 'Gemcitabine 1000 mg' 'Nab paclitaxel'
 'Cisplatin' 'Capecitabine']",['Italy' 'Spain'],"National Cancer Institute, Naples","National Cancer Institute, Naples",Global / Multi-Region,2.0,1.0,0.6,5,0.6,2.0,1.0,0.0,0.0,1.0,K6_lc0.5_ls2.0_sig0.0_seed0_pool6_shots1024_A10.0,6,0.5,2.0,0.0,0,6,10.0,1024,1.2666666666666666,0.7333333333333334
NCT05820906,Cadonilimab Plus Regorafenib and Gem-Cis Chemotherapy in Advanced Biliary Tract Cancer,Recruiting,Phase 2,['Advanced Biliary Tract Cancer'],['Cadonilimab+Regorafenib+GC'],['China'],Tianjin Medical University Cancer Institute and Hospital,Tianjin Medical University Cancer Institute and Hospital,Global / Multi-Region,2.0,1.0,0.6,8,0.6,2.0,1.0,0.0,0.0,1.0,K6_lc0.5_ls2.0_sig0.0_seed0_pool6_shots1024_A10.0,6,0.5,2.0,0.0,0,6,10.0,1024,1.2666666666666666,0.7333333333333334
NCT00999804,Extension Study of Lapatinib Plus Herceptin With or Without Endocrine Therapy,"Active, not recruiting",Phase 2,['Breast Cancer'],['Lapatinib' 'Letrozole' 'Trastuzumab'],['United States'],Baylor Breast Care Center,Baylor Breast Care Center,Global / Multi-Region,2.0,1.0,0.6,9,0.6,2.0,1.0,0.0,0.0,1.0,K6_lc0.5_ls2.0_sig0.0_seed0_pool6_shots1024_A10.0,6,0.5,2.0,0.0,0,6,10.0,1024,1.2666666666666666,0.7333333333333334
NCT05816746,Decitabine and Anti-PD-1 in R/R DLBCL,Recruiting,Phase 2,"['Diffuse Large B Cell Lymphoma' 'Relapse/Recurrence'
 'Extranodal Extension' 'Central Nervous System Lymphoma']",['Low-Dose Decitabine plus anti-PD-1'],['China'],Chinese PLA General Hospital,Chinese PLA General Hospital,Global / Multi-Region,2.0,1.0,0.6,13,0.6,2.0,1.0,0.0,0.0,1.0,K6_lc0.5_ls2.0_sig0.0_seed0_pool6_shots1024_A10.0,6,0.5,2.0,0.0,0,6,10.0,1024,1.2666666666666666,0.7333333333333334
NCT05816655,"Comparison of Clinical Efficacy Between Letrozole + Ribociclib and Fulvestrant + Letrozole + Ribociclib in Hormone Receptor Positive, HER2 Negative Metastatic Breast Cancer",Recruiting,Phase 2,['Metastatic Breast Cancer'],['Fulvestrant plus AI plus ribociclib' 'AI plus ribociclib'],['South Korea'],Korea University Guro Hospital,Korea University Guro Hospital,Global / Multi-Region,2.0,1.0,0.6,14,0.6,2.0,1.0,0.0,0.0,1.0,K6_lc0.5_ls2.0_sig0.0_seed0_pool6_shots1024_A10.0,6,0.5,2.0,0.0,0,6,10.0,1024,1.2666666666666666,0.7333333333333334
NCT05823714,Venetoclax+Azacytidine+Modified BUCY Conditioning Regimen for Acute Myeloid Leukemia and Myelodysplastic Syndromes Undergoing Allo-HSCT,Recruiting,Phase 2,"['Allogeneic Hematopoietic Stem Cell Transplantation'
 'Acute Myeloid Leukemia' 'Myelodysplastic Syndrome']",['VEN+AZA+Modified BUCY'],['China'],The First Affiliated Hospital of Soochow University,The First Affiliated Hospital of Soochow University,Global / Multi-Region,2.0,1.0,0.6,1,0.6,2.0,1.0,0.0,0.0,1.0,K6_lc1.0_ls2.0_sig0.0_seed0_pool6_shots1024_A10.0,6,1.0,2.0,0.0,0,6,10.0,1024,1.2666666666666666,0.7333333333333334
NCT05821556,Valproic Acid/Simvastatin Plus Gemcitabine/Nab-paclitaxel Based Regimens in Untreated Metastatic Pancreatic Adenocarcinoma Patients,Recruiting,Phase 2,['Adenocarcinoma of the Pancreas'],"['Valproic acid' 'Simvastatin 20mg' 'Gemcitabine 1000 mg' 'Nab paclitaxel'
 'Cisplatin' 'Capecitabine']",['Italy' 'Spain'],"National Cancer Institute, Naples","National Cancer Institute, Naples",Global / Multi-Region,2.0,1.0,0.6,5,0.6,2.0,1.0,0.0,0.0,1.0,K6_lc1.0_ls2.0_sig0.0_seed0_pool6_shots1024_A10.0,6,1.0,2.0,0.0,0,6,10.0,1024,1.2666666666666666,0.7333333333333334
NCT05820906,Cadonilimab Plus Regorafenib and Gem-Cis Chemotherapy in Advanced Biliary Tract Cancer,Recruiting,Phase 2,['Advanced Biliary Tract Cancer'],['Cadonilimab+Regorafenib+GC'],['China'],Tianjin Medical University Cancer Institute and Hospital,Tianjin Medical University Cancer Institute and Hospital,Global / Multi-Region,2.0,1.0,0.6,8,0.6,2.0,1.0,0.0,0.0,1.0,K6_lc1.0_ls2.0_sig0.0_seed0_pool6_shots1024_A10.0,6,1.0,2.0,0.0,0,6,10.0,1024,1.2666666666666666,0.7333333333333334
NCT00999804,Extension Study of Lapatinib Plus Herceptin With or Without Endocrine Therapy,"Active, not recruiting",Phase 2,['Breast Cancer'],['Lapatinib' 'Letrozole' 'Trastuzumab'],['United States'],Baylor Breast Care Center,Baylor Breast Care Center,Global / Multi-Region,2.0,1.0,0.6,9,0.6,2.0,1.0,0.0,0.0,1.0,K6_lc1.0_ls2.0_sig0.0_seed0_pool6_shots1024_A10.0,6,1.0,2.0,0.0,0,6,10.0,1024,1.2666666666666666,0.7333333333333334
NCT05816746,Decitabine and Anti-PD-1 in R/R DLBCL,Recruiting,Phase 2,"['Diffuse Large B Cell Lymphoma' 'Relapse/Recurrence'
 'Extranodal Extension' 'Central Nervous System Lymphoma']",['Low-Dose Decitabine plus anti-PD-1'],['China'],Chinese PLA General Hospital,Chinese PLA General Hospital,Global / Multi-Region,2.0,1.0,0.6,13,0.6,2.0,1.0,0.0,0.0,1.0,K6_lc1.0_ls2.0_sig0.0_seed0_pool6_shots1024_A10.0,6,1.0,2.0,0.0,0,6,10.0,1024,1.2666666666666666,0.7333333333333334
NCT05816655,"Comparison of Clinical Efficacy Between Letrozole + Ribociclib and Fulvestrant + Letrozole + Ribociclib in Hormone Receptor Positive, HER2 Negative Metastatic Breast Cancer",Recruiting,Phase 2,['Metastatic Breast Cancer'],['Fulvestrant plus AI plus ribociclib' 'AI plus ribociclib'],['South Korea'],Korea University Guro Hospital,Korea University Guro Hospital,Global / Multi-Region,2.0,1.0,0.6,14,0.6,2.0,1.0,0.0,0.0,1.0,K6_lc1.0_ls2.0_sig0.0_seed0_pool6_shots1024_A10.0,6,1.0,2.0,0.0,0,6,10.0,1024,1.2666666666666666,0.7333333333333334
NCT05823714,Venetoclax+Azacytidine+Modified BUCY Conditioning Regimen for Acute Myeloid Leukemia and Myelodysplastic Syndromes Undergoing Allo-HSCT,Recruiting,Phase 2,"['Allogeneic Hematopoietic Stem Cell Transplantation'
 'Acute Myeloid Leukemia' 'Myelodysplastic Syndrome']",['VEN+AZA+Modified BUCY'],['China'],The First Affiliated Hospital of Soochow University,The First Affiliated Hospital of Soochow University,Global / Multi-Region,2.0,1.0,0.6,1,0.6,2.0,1.0,0.0,0.0,1.0,K6_lc2.0_ls2.0_sig0.0_seed0_pool6_shots1024_A10.0,6,2.0,2.0,0.0,0,6,10.0,1024,1.2666666666666666,0.7333333333333334
NCT05821556,Valproic Acid/Simvastatin Plus Gemcitabine/Nab-paclitaxel Based Regimens in Untreated Metastatic Pancreatic Adenocarcinoma Patients,Recruiting,Phase 2,['Adenocarcinoma of the Pancreas'],"['Valproic acid' 'Simvastatin 20mg' 'Gemcitabine 1000 mg' 'Nab paclitaxel'
 'Cisplatin' 'Capecitabine']",['Italy' 'Spain'],"National Cancer Institute, Naples","National Cancer Institute, Naples",Global / Multi-Region,2.0,1.0,0.6,5,0.6,2.0,1.0,0.0,0.0,1.0,K6_lc2.0_ls2.0_sig0.0_seed0_pool6_shots1024_A10.0,6,2.0,2.0,0.0,0,6,10.0,1024,1.2666666666666666,0.7333333333333334
NCT05820906,Cadonilimab Plus Regorafenib and Gem-Cis Chemotherapy in Advanced Biliary Tract Cancer,Recruiting,Phase 2,['Advanced Biliary Tract Cancer'],['Cadonilimab+Regorafenib+GC'],['China'],Tianjin Medical University Cancer Institute and Hospital,Tianjin Medical University Cancer Institute and Hospital,Global / Multi-Region,2.0,1.0,0.6,8,0.6,2.0,1.0,0.0,0.0,1.0,K6_lc2.0_ls2.0_sig0.0_seed0_pool6_shots1024_A10.0,6,2.0,2.0,0.0,0,6,10.0,1024,1.2666666666666666,0.7333333333333334
NCT00999804,Extension Study of Lapatinib Plus Herceptin With or Without Endocrine Therapy,"Active, not recruiting",Phase 2,['Breast Cancer'],['Lapatinib' 'Letrozole' 'Trastuzumab'],['United States'],Baylor Breast Care Center,Baylor Breast Care Center,Global / Multi-Region,2.0,1.0,0.6,9,0.6,2.0,1.0,0.0,0.0,1.0,K6_lc2.0_ls2.0_sig0.0_seed0_pool6_shots1024_A10.0,6,2.0,2.0,0.0,0,6,10.0,1024,1.2666666666666666,0.7333333333333334
