config_id,K,lambda_cost,lambda_safety,noise_sigma,seed,pool_size,p,penalty_A,shots,jaccard_vs_baseline,best_energy,best_bitstring,gamma_0,beta_0,selected_n,total_benefit,total_cost,total_safety,objective,objective_norm
K6_lc0.5_ls0.5_sig0_seed0_pool12_p1_A10_sh128,6,0.5,0.5,0.0,0,12,1,10.0,128,0.36363636363636365,2.4,010001110101,0.2,0.2,6,3.6,12.0,0.0,-2.4,0.9853553076471612
K6_lc0.5_ls0.5_sig0_seed1_pool12_p1_A10_sh128,6,0.5,0.5,0.0,1,12,1,10.0,128,0.5,2.4,000111010101,0.2,0.2,6,3.6,12.0,0.0,-2.4,0.9853553076471612
K6_lc0.5_ls0.5_sig0_seed2_pool12_p1_A10_sh128,6,0.5,0.5,0.0,2,12,1,10.0,128,0.36363636363636365,2.4,101010001011,0.2,0.2,6,3.6,12.0,0.0,-2.4,0.9853553076471612
K6_lc0.5_ls0.5_sig0.05_seed0_pool12_p1_A10_sh128,6,0.5,0.5,0.05,0,12,1,10.0,128,0.5,2.1101875061997264,000001111101,0.2,0.2,6,3.6619758667658857,11.544326745931222,0.0,-2.1101875061997255,0.9927793860220162
K6_lc0.5_ls0.5_sig0.05_seed1_pool12_p1_A10_sh128,6,0.5,0.5,0.05,1,12,1,10.0,128,0.36363636363636365,2.2052023251113897,001010100111,0.55,1.6,6,3.6857351734578954,11.781874997138571,0.0,-2.20520232511139,0.9903454072341349
K6_lc0.5_ls0.5_sig0.05_seed2_pool12_p1_A10_sh128,6,0.5,0.5,0.05,2,12,1,10.0,128,0.36363636363636365,2.227702623247217,011010110010,0.2,0.2,6,3.713679441973513,11.882764130441458,0.0,-2.2277026232472164,0.9897690208450335
K6_lc0.5_ls0.5_sig0.1_seed0_pool12_p1_A10_sh128,6,0.5,0.5,0.1,0,12,1,10.0,128,0.36363636363636365,1.8283176177006712,010001101101,1.6,0.2,6,3.7230092860510737,11.10265380750349,0.0,-1.8283176177006712,1.0
K6_lc0.5_ls0.5_sig0.1_seed1_pool12_p1_A10_sh128,6,0.5,0.5,0.1,1,12,1,10.0,128,0.36363636363636365,2.01054323813857,001010100111,0.55,1.6,6,3.7738331764155637,11.568752829108266,0.0,-2.0105432381385695,0.9953319566375567
K6_lc0.5_ls0.5_sig0.1_seed2_pool12_p1_A10_sh128,6,0.5,0.5,0.1,2,12,1,10.0,128,0.36363636363636365,2.015032419434433,000011110011,1.25,0.9000000000000001,6,3.800993643663909,11.632052126196683,0.0,-2.0150324194344327,0.995216958028137
K6_lc0.5_ls1_sig0_seed0_pool12_p1_A10_sh128,6,0.5,1.0,0.0,0,12,1,10.0,128,0.36363636363636365,2.4,010001110101,0.2,0.2,6,3.6,12.0,0.0,-2.4,0.9853553076471612
