config_key,a__K,a__lambda_cost,a__lambda_safety,a__noise_sigma,a__objective_norm_mean,a__objective_mean,a__jaccard_mean,a__n_runs,b__K,b__lambda_cost,b__lambda_safety,b__noise_sigma,b__objective_norm_mean,b__objective_mean,b__jaccard_mean,b__n_runs,c__K,c__lambda_cost,c__lambda_safety,c__noise_sigma,c__objective_norm_mean,c__objective_mean,c__jaccard_mean,c__n_runs
K=25|lc=0.5|ls=0.5|sig=0.05,25.0,0.5,0.5,0.05,0.9828611392336436,-5.65205467403549,0.0027027027027027,5.0,,,,,,,,,,,,,,,,
K=25|lc=0.5|ls=0.5|sig=0.1,25.0,0.5,0.5,0.1,0.9994572909846188,-1.441677262379783,0.0027027027027027,5.0,,,,,,,,,,,,,,,,
K=25|lc=0.5|ls=1.0|sig=0.05,25.0,0.5,1.0,0.05,0.9828611392336436,-5.65205467403549,0.0027027027027027,5.0,,,,,,,,,,,,,,,,
K=25|lc=0.5|ls=1.0|sig=0.1,25.0,0.5,1.0,0.1,0.9994572909846188,-1.441677262379783,0.0027027027027027,5.0,,,,,,,,,,,,,,,,
K=25|lc=0.5|ls=2.0|sig=0.05,25.0,0.5,2.0,0.05,0.9828611392336436,-5.65205467403549,0.0027027027027027,5.0,,,,,,,,,,,,,,,,
K=25|lc=0.5|ls=2.0|sig=0.1,25.0,0.5,2.0,0.1,0.9994572909846188,-1.441677262379783,0.0027027027027027,5.0,,,,,,,,,,,,,,,,
K=3|lc=0.5|ls=2.0|sig=0.0,,,,,,,,,,,,,,,,,3.0,0.5,2.0,0.0,0.5572152584437589,6.0,0.5,3.0
K=3|lc=1.0|ls=2.0|sig=0.0,,,,,,,,,,,,,,,,,3.0,1.0,2.0,0.0,0.5572152584437589,6.0,0.5,3.0
K=50|lc=0.5|ls=0.5|sig=0.1,50.0,0.5,0.5,0.1,0.9893003687669164,-4.01844786071121,0.002020202020202,5.0,,,,,,,,,,,,,,,,
K=50|lc=0.5|ls=1.0|sig=0.1,50.0,0.5,1.0,0.1,0.9893003687669164,-4.01844786071121,0.002020202020202,5.0,,,,,,,,,,,,,,,,
K=50|lc=0.5|ls=2.0|sig=0.1,50.0,0.5,2.0,0.1,0.9893003687669164,-4.01844786071121,0.002020202020202,5.0,,,,,,,,,,,,,,,,
K=6|lc=0.5|ls=1.0|sig=0.0,,,,,,,,,,,,,,,,,6.0,0.5,1.0,0.0,0.5572152584437589,6.0,1.0,3.0
K=6|lc=0.5|ls=2.0|sig=0.0,,,,,,,,,,,,,,,,,6.0,0.5,2.0,0.0,1.0,12.0,1.0,3.0
K=6|lc=1.0|ls=1.0|sig=0.0,,,,,,,,,,,,,,,,,6.0,1.0,1.0,0.0,0.5572152584437589,6.0,1.0,3.0
K=6|lc=1.0|ls=2.0|sig=0.0,,,,,,,,,,,,,,,,,6.0,1.0,2.0,0.0,1.0,12.0,1.0,3.0
K=6|lc=2.0|ls=1.0|sig=0.0,,,,,,,,,,,,,,,,,6.0,2.0,1.0,0.0,0.5572152584437589,6.0,1.0,3.0
K=6|lc=2.0|ls=2.0|sig=0.0,,,,,,,,,,,,,,,,,6.0,2.0,2.0,0.0,1.0,12.0,1.0,3.0
K=6|lc=2.0|ls=2.0|sig=0.05,,,,,,,,,,,,,,,,,6.0,2.0,2.0,0.05,0.7368168239411027,8.433709411929202,1.0,3.0
K=6|lc=2.0|ls=2.0|sig=0.1,,,,,,,,,,,,,,,,,6.0,2.0,2.0,0.1,0.7382619464897763,8.453291693065554,1.0,3.0
K=75|lc=0.5|ls=0.5|sig=0.1,75.0,0.5,0.5,0.1,0.9772755485122316,-7.069096730354739,0.0032258064516129,5.0,,,,,,,,,,,,,,,,
K=6|lc=0.5|ls=0.5|sig=0.0,,,,,,,,,6.0,0.5,0.5,0.0,0.9853553076471612,-2.4,0.4090909090909091,3.0,,,,,,,,
K=6|lc=0.5|ls=0.5|sig=0.05,,,,,,,,,6.0,0.5,0.5,0.05,0.9909646047003948,-2.1810308181861107,0.4090909090909091,3.0,,,,,,,,
K=6|lc=0.5|ls=0.5|sig=0.1,,,,,,,,,6.0,0.5,0.5,0.1,0.996849638221898,-1.9512977584245577,0.3636363636363636,3.0,,,,,,,,
K=6|lc=0.5|ls=1.0|sig=0.0,,,,,,,,,6.0,0.5,1.0,0.0,0.9853553076471612,-2.4,0.4090909090909091,3.0,,,,,,,,
K=6|lc=0.5|ls=1.0|sig=0.05,,,,,,,,,6.0,0.5,1.0,0.05,0.9909646047003948,-2.1810308181861107,0.4090909090909091,3.0,,,,,,,,
K=6|lc=0.5|ls=1.0|sig=0.1,,,,,,,,,6.0,0.5,1.0,0.1,0.996849638221898,-1.9512977584245577,0.3636363636363636,3.0,,,,,,,,
K=6|lc=0.5|ls=2.0|sig=0.0,,,,,,,,,6.0,0.5,2.0,0.0,0.9853553076471612,-2.4,0.4090909090909091,3.0,,,,,,,,
K=6|lc=0.5|ls=2.0|sig=0.05,,,,,,,,,6.0,0.5,2.0,0.05,0.9909646047003948,-2.1810308181861107,0.4090909090909091,3.0,,,,,,,,
K=6|lc=0.5|ls=2.0|sig=0.1,,,,,,,,,6.0,0.5,2.0,0.1,0.996849638221898,-1.9512977584245577,0.3636363636363636,3.0,,,,,,,,
K=9|lc=0.5|ls=0.5|sig=0.1,,,,,,,,,9.0,0.5,0.5,0.1,0.9664687149529284,-3.137272729588139,0.5454545454545454,3.0,,,,,,,,
