K,lambda_cost,lambda_safety,noise_sigma,seed,selected_n,score_linear_only,nct_id
9,0.5,0.5,0.0,0,9,0.0,NCT06760637
9,0.5,0.5,0.0,0,9,0.0,NCT06742723
9,0.5,0.5,0.0,0,9,0.0,NCT05595642
9,0.5,0.5,0.0,0,9,0.0,NCT05597540
9,0.5,0.5,0.0,0,9,0.0,NCT05600491
9,0.5,0.5,0.0,0,9,0.0,NCT06739122
9,0.5,0.5,0.0,0,9,0.0,NCT05609630
9,0.5,0.5,0.0,0,9,0.0,NCT05609968
9,0.5,0.5,0.0,0,9,0.0,NCT05611801
9,0.5,1.0,0.0,0,9,0.0,NCT06760637
9,0.5,1.0,0.0,0,9,0.0,NCT06742723
9,0.5,1.0,0.0,0,9,0.0,NCT05595642
9,0.5,1.0,0.0,0,9,0.0,NCT05597540
9,0.5,1.0,0.0,0,9,0.0,NCT05600491
9,0.5,1.0,0.0,0,9,0.0,NCT06739122
9,0.5,1.0,0.0,0,9,0.0,NCT05609630
9,0.5,1.0,0.0,0,9,0.0,NCT05609968
9,0.5,1.0,0.0,0,9,0.0,NCT05611801
9,0.5,2.0,0.0,0,9,0.0,NCT06760637
9,0.5,2.0,0.0,0,9,0.0,NCT06742723
9,0.5,2.0,0.0,0,9,0.0,NCT05595642
9,0.5,2.0,0.0,0,9,0.0,NCT05597540
9,0.5,2.0,0.0,0,9,0.0,NCT05600491
9,0.5,2.0,0.0,0,9,0.0,NCT06739122
9,0.5,2.0,0.0,0,9,0.0,NCT05609630
9,0.5,2.0,0.0,0,9,0.0,NCT05609968
9,0.5,2.0,0.0,0,9,0.0,NCT05611801
9,1.0,0.5,0.0,0,9,9.0,NCT06760637
9,1.0,0.5,0.0,0,9,9.0,NCT06742723
9,1.0,0.5,0.0,0,9,9.0,NCT05595642
9,1.0,0.5,0.0,0,9,9.0,NCT05597540
9,1.0,0.5,0.0,0,9,9.0,NCT05600491
9,1.0,0.5,0.0,0,9,9.0,NCT06739122
9,1.0,0.5,0.0,0,9,9.0,NCT05609630
9,1.0,0.5,0.0,0,9,9.0,NCT05609968
9,1.0,0.5,0.0,0,9,9.0,NCT05611801
9,1.0,1.0,0.0,0,9,9.0,NCT06760637
9,1.0,1.0,0.0,0,9,9.0,NCT06742723
9,1.0,1.0,0.0,0,9,9.0,NCT05595642
9,1.0,1.0,0.0,0,9,9.0,NCT05597540
9,1.0,1.0,0.0,0,9,9.0,NCT05600491
9,1.0,1.0,0.0,0,9,9.0,NCT06739122
9,1.0,1.0,0.0,0,9,9.0,NCT05609630
9,1.0,1.0,0.0,0,9,9.0,NCT05609968
9,1.0,1.0,0.0,0,9,9.0,NCT05611801
9,1.0,2.0,0.0,0,9,9.0,NCT06760637
9,1.0,2.0,0.0,0,9,9.0,NCT06742723
9,1.0,2.0,0.0,0,9,9.0,NCT05595642
9,1.0,2.0,0.0,0,9,9.0,NCT05597540
9,1.0,2.0,0.0,0,9,9.0,NCT05600491
9,1.0,2.0,0.0,0,9,9.0,NCT06739122
9,1.0,2.0,0.0,0,9,9.0,NCT05609630
9,1.0,2.0,0.0,0,9,9.0,NCT05609968
9,1.0,2.0,0.0,0,9,9.0,NCT05611801
9,2.0,0.5,0.0,0,9,27.0,NCT06760637
9,2.0,0.5,0.0,0,9,27.0,NCT06742723
9,2.0,0.5,0.0,0,9,27.0,NCT05595642
9,2.0,0.5,0.0,0,9,27.0,NCT05597540
9,2.0,0.5,0.0,0,9,27.0,NCT05600491
9,2.0,0.5,0.0,0,9,27.0,NCT06739122
9,2.0,0.5,0.0,0,9,27.0,NCT05609630
9,2.0,0.5,0.0,0,9,27.0,NCT05609968
9,2.0,0.5,0.0,0,9,27.0,NCT05611801
9,2.0,1.0,0.0,0,9,27.0,NCT06760637
9,2.0,1.0,0.0,0,9,27.0,NCT06742723
9,2.0,1.0,0.0,0,9,27.0,NCT05595642
9,2.0,1.0,0.0,0,9,27.0,NCT05597540
9,2.0,1.0,0.0,0,9,27.0,NCT05600491
9,2.0,1.0,0.0,0,9,27.0,NCT06739122
9,2.0,1.0,0.0,0,9,27.0,NCT05609630
9,2.0,1.0,0.0,0,9,27.0,NCT05609968
9,2.0,1.0,0.0,0,9,27.0,NCT05611801
9,2.0,2.0,0.0,0,9,27.0,NCT06760637
9,2.0,2.0,0.0,0,9,27.0,NCT06742723
9,2.0,2.0,0.0,0,9,27.0,NCT05595642
9,2.0,2.0,0.0,0,9,27.0,NCT05597540
9,2.0,2.0,0.0,0,9,27.0,NCT05600491
9,2.0,2.0,0.0,0,9,27.0,NCT06739122
9,2.0,2.0,0.0,0,9,27.0,NCT05609630
9,2.0,2.0,0.0,0,9,27.0,NCT05609968
9,2.0,2.0,0.0,0,9,27.0,NCT05611801
12,0.5,0.5,0.0,0,12,0.0,NCT06760637
12,0.5,0.5,0.0,0,12,0.0,NCT06742723
12,0.5,0.5,0.0,0,12,0.0,NCT05595642
12,0.5,0.5,0.0,0,12,0.0,NCT05597540
12,0.5,0.5,0.0,0,12,0.0,NCT05600491
12,0.5,0.5,0.0,0,12,0.0,NCT06739122
12,0.5,0.5,0.0,0,12,0.0,NCT05609630
12,0.5,0.5,0.0,0,12,0.0,NCT05609968
12,0.5,0.5,0.0,0,12,0.0,NCT05611801
12,0.5,0.5,0.0,0,12,0.0,NCT06734702
12,0.5,0.5,0.0,0,12,0.0,NCT05623020
12,0.5,0.5,0.0,0,12,0.0,NCT05624450
12,0.5,1.0,0.0,0,12,0.0,NCT06760637
12,0.5,1.0,0.0,0,12,0.0,NCT06742723
12,0.5,1.0,0.0,0,12,0.0,NCT05595642
12,0.5,1.0,0.0,0,12,0.0,NCT05597540
12,0.5,1.0,0.0,0,12,0.0,NCT05600491
12,0.5,1.0,0.0,0,12,0.0,NCT06739122
12,0.5,1.0,0.0,0,12,0.0,NCT05609630
12,0.5,1.0,0.0,0,12,0.0,NCT05609968
12,0.5,1.0,0.0,0,12,0.0,NCT05611801
12,0.5,1.0,0.0,0,12,0.0,NCT06734702
