method,K,lambda_cost,lambda_safety,noise_sigma,objective_mean,objective_std,jaccard_mean,jaccard_std,n_runs,objective_norm_mean
greedy,9,0.5,0.5,0.0,0.0,0.0,1.0,0.0,3,1.1483921600894248e-10
greedy,9,0.5,1.0,0.0,0.0,0.0,1.0,0.0,3,1.1483921600894248e-10
greedy,9,0.5,2.0,0.0,0.0,0.0,1.0,0.0,3,1.1483921600894248e-10
greedy,9,1.0,0.5,0.0,9.0,0.0,1.0,0.0,3,0.25000000008612244
greedy,9,1.0,1.0,0.0,9.0,0.0,1.0,0.0,3,0.25000000008612244
greedy,9,1.0,2.0,0.0,9.0,0.0,1.0,0.0,3,0.25000000008612244
greedy,9,2.0,0.5,0.0,27.0,0.0,1.0,0.0,3,0.7500000000286888
greedy,9,2.0,1.0,0.0,27.0,0.0,1.0,0.0,3,0.7500000000286888
greedy,9,2.0,2.0,0.0,27.0,0.0,1.0,0.0,3,0.7500000000286888
greedy,12,0.5,0.5,0.0,0.0,0.0,0.75,0.0,3,1.1483921600894248e-10
greedy,12,0.5,1.0,0.0,0.0,0.0,0.75,0.0,3,1.1483921600894248e-10
greedy,12,0.5,2.0,0.0,0.0,0.0,0.75,0.0,3,1.1483921600894248e-10
greedy,12,1.0,0.5,0.0,12.0,0.0,0.75,0.0,3,0.33333333340988347
greedy,12,1.0,1.0,0.0,12.0,0.0,0.75,0.0,3,0.33333333340988347
greedy,12,1.0,2.0,0.0,12.0,0.0,0.75,0.0,3,0.33333333340988347
greedy,12,2.0,0.5,0.0,36.0,0.0,0.75,0.0,3,0.9999999999999721
greedy,12,2.0,1.0,0.0,36.0,0.0,0.75,0.0,3,0.9999999999999721
greedy,12,2.0,2.0,0.0,36.0,0.0,0.75,0.0,3,0.9999999999999721
greedy,6,0.5,0.5,0.0,0.0,0.0,0.6666666666666666,0.0,3,1.1483921600894248e-10
greedy,6,0.5,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,3,1.1483921600894248e-10
greedy,6,0.5,2.0,0.0,0.0,0.0,0.6666666666666666,0.0,3,1.1483921600894248e-10
greedy,6,1.0,0.5,0.0,6.0,0.0,0.6666666666666666,0.0,3,0.16666666676236136
greedy,6,1.0,1.0,0.0,6.0,0.0,0.6666666666666666,0.0,3,0.16666666676236136
greedy,6,1.0,2.0,0.0,6.0,0.0,0.6666666666666666,0.0,3,0.16666666676236136
greedy,6,2.0,0.5,0.0,18.0,0.0,0.6666666666666666,0.0,3,0.5000000000574056
greedy,6,2.0,1.0,0.0,18.0,0.0,0.6666666666666666,0.0,3,0.5000000000574056
greedy,6,2.0,2.0,0.0,18.0,0.0,0.6666666666666666,0.0,3,0.5000000000574056
greedy,12,0.5,1.0,0.1,-2.729303997726941e-09,1.7029204340030422e-10,0.1486068111455108,0.0612971822700412,3,3.902521608079154e-11
greedy,12,0.5,1.0,0.05,-1.3646519618560364e-09,8.514581772193366e-11,0.1486068111455108,0.0612971822700412,3,7.693221707285129e-11
greedy,12,1.0,2.0,0.1,11.999999995566162,1.4686371375976998e-10,0.1486068111455108,0.0612971822700412,3,0.3333333332867213
greedy,12,1.0,2.0,0.05,11.99999999778308,7.343151916071401e-11,0.1486068111455108,0.0612971822700412,3,0.3333333333483024
greedy,12,2.0,0.5,0.1,35.9999999959048,2.7323947926622725e-10,0.1461988304093567,0.0289458916275194,3,0.9999999998862167
greedy,12,2.0,0.5,0.05,35.99999999795241,1.3662231284087214e-10,0.1461988304093567,0.0289458916275194,3,0.9999999999430946
greedy,9,0.5,2.0,0.1,-3.4216213338104223e-09,9.102473069030522e-11,0.1279411764705882,0.0576725633856693,3,1.979417896957052e-11
