bitstring,count
0000000000000000000000000000000000,33
0000100000000000000000000000000000,3
0000000000000000000010000000000000,2
0000001000000000000000000000000000,2
0000000000000000100000000000000000,2
0000000010000000000000000000000000,2
0000000000000000010000000000000000,2
1100111101110111111111011101001111,1
0111110001011110011111111111001110,1
0011000010110110001100001011110011,1
1011110111011011100111011010111111,1
1000000000000000000000000000000000,1
0111010001111110000011111011001011,1
1011111111111001111111111111111011,1
0001000010000000000000100001000000,1
0111100111011111111011111101010111,1
1111110100111111101001111111111111,1
0101011111111101110110111110100101,1
1111010110111011111000100111101101,1
1111111110111101111111001111011101,1
