nct_id,lead_sponsor_norm,region_label,benefit_score,estimated_trial_cost,enrollment_feasibility_score,brief_title,overall_status,phase,_benefit_raw,_cost_raw,_safety_raw,_pool_score,_rank_score,_sponsor_count,selected
NCT06744504,"Institute of Hematology & Blood Diseases Hospital, China",UNKNOWN,1.0,2.0,1.0,Standard-dose vs Intermediate-dose Cytarabine Induction in the Treatment of Acute Myeloid Leukemia With RUNX1-RUNX1T1,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.2023472277418049,1,1
NCT05597540,Assistance Publique - Hôpitaux de Paris,UNKNOWN,1.0,2.0,1.0,"Efficacy of 7 Days Versus 14 Days of Antibiotic Therapy for Acute Pyelonephritis in Kidney Transplant Recipients, a Multicentre Randomized Non-inferiority Trial.",RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.0,5,1
NCT06742723,AstraZeneca,UNKNOWN,1.0,2.0,1.0,A Phase III Renal Outcomes and Cardiovascular Mortality Study to Investigate the Efficacy and Safety of Baxdrostat in Combination With Dapagliflozin in Participants With Chronic Kidney Disease and High Blood Pressure,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.0,5,1
NCT05689879,Assistance Publique - Hôpitaux de Paris,UNKNOWN,1.0,2.0,1.0,Evaluation of TNF-alpha Antagonists (Infliximab) Withdrawal in Sarcoidosis,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.0,5,1
NCT05692180,AstraZeneca,UNKNOWN,1.0,2.0,1.0,"A Multicentre, Randomised, Double-blind, Parallel Group, Placebo-controlled, Time-to-first Asthma Exacerbation Phase III Efficacy and Safety Study of Benralizumab in Paediatric Patients With Severe Eosinophilic Asthma (DOMINICA)",RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.0,5,1
NCT06698796,Pfizer,UNKNOWN,1.0,2.0,1.0,A Study to Understand How the Study Medicine Dazukibart Works in People With Idiopathic Inflammatory Myopathies,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.0505868069354512,6,1
NCT05611801,Pfizer,UNKNOWN,1.0,2.0,1.0,A Clinical Trial of Study Medicine (Marstacimab) in Pediatric Patients With Hemophilia A or Hemophilia B,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.0505868069354512,6,1
NCT06726421,Sun Yat-sen University,UNKNOWN,1.0,2.0,1.0,Systemic Therapy Alone or with Stereotactic Body Radiotherapy for Oligometastatic Kidney Cancer (STROKER Study),RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.1011736138709024,7,1
NCT06734702,Sun Yat-sen University,UNKNOWN,1.0,2.0,1.0,Neoadjuvant Immunotherapy Plus Chemotherapy Followed by Concurrent Chemoradiotherapy and Consolidative Immunotherapy for Locally Advanced Non-small Cell Lung Cancer,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.1011736138709024,7,1
NCT05795140,Novartis Pharmaceuticals,UNKNOWN,1.0,2.0,1.0,"Evaluate Long-term Safety, Tolerability and Efficacy of Iptacopan in Study Participants With aHUS",RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.1517604208063536,8,1
