scenario,method,energy,selected_n,_source_file
A,05a_greedy,-1.441677262379783,25,05c2_compare_best_by_method.csv
A,05b_qaoa,-1.9512977584245577,6,05c2_compare_best_by_method.csv
A,05b2_qaoa_aer,12.0,6,05c2_compare_best_by_method.csv
B,greedy,0.0,9,07c_best_by_method.csv
B,greedy,0.0,9,07c_best_by_method.csv
B,greedy,0.0,9,07c_best_by_method.csv
B,greedy,9.0,9,07c_best_by_method.csv
B,greedy,9.0,9,07c_best_by_method.csv
B,greedy,9.0,9,07c_best_by_method.csv
B,greedy,27.0,9,07c_best_by_method.csv
B,greedy,27.0,9,07c_best_by_method.csv
B,greedy,27.0,9,07c_best_by_method.csv
B,greedy,0.0,12,07c_best_by_method.csv
B,qaoa,-990.0,6,07c_best_by_method.csv
B,qaoa,-990.0,6,07c_best_by_method.csv
B,qaoa,-990.0,6,07c_best_by_method.csv
B,qaoa,-990.0,6,07c_best_by_method.csv
B,qaoa,-990.0,6,07c_best_by_method.csv
B,qaoa,-990.0,6,07c_best_by_method.csv
B,qaoa,-990.0,6,07c_best_by_method.csv
B,qaoa,-990.0,6,07c_best_by_method.csv
B,qaoa,-990.0,6,07c_best_by_method.csv
B,qaoa,-990.0,9,07c_best_by_method.csv
C,classical,,10,09d_compare_classical_vs_sv1_scenario_C.csv
C,sv1_qaoa,-2600.0,4,09d_compare_classical_vs_sv1_scenario_C.csv
