index,nct_id,brief_title,lead_sponsor,overall_status,phase,_benefit_raw,_cost_raw,_safety_raw,_pool_score
0,NCT06760637,Study of PF-07220060 With Letrozole in Adults With HR-positive HER2-negative Breast Cancer Who Have Not Received Anticancer Treatment for Advanced/Metastatic Disease,Pfizer,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
32,NCT06742723,A Phase III Renal Outcomes and Cardiovascular Mortality Study to Investigate the Efficacy and Safety of Baxdrostat in Combination With Dapagliflozin in Participants With Chronic Kidney Disease and High Blood Pressure,AstraZeneca,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
33,NCT05595642,A Study to Evaluate Astegolimab in Participants With Chronic Obstructive Pulmonary Disease,Hoffmann-La Roche,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
34,NCT05597540,"Efficacy of 7 Days Versus 14 Days of Antibiotic Therapy for Acute Pyelonephritis in Kidney Transplant Recipients, a Multicentre Randomized Non-inferiority Trial.",Assistance Publique - Hôpitaux de Paris,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
35,NCT05600491,A Phase III Study of Postoperative Early Temozolomide Treatment Plus STUPP Regimen for Newly Diagnosed GBM Multiforme,Sun Yat-sen University,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
36,NCT06739122,A Study of Dulaglutide (LY2189265) 3.0 mg and 4.5 mg in Pediatric Participants With Type 2 Diabetes Mellitus (AWARD-PEDS PLUS),Eli Lilly and Company,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
37,NCT05609630,"Study of Oral Upadacitinib and Subcutaneous/Intravenous Tocilizumab to Evaluate Change in Disease Activity, Adverse Events and How Drug Moves Through the Body of Pediatric and Adolescent Participants With Active Systemic Juvenile Idiopathic Arthritis.",AbbVie,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
38,NCT05609968,Study of Pembrolizumab (MK-3475) Monotherapy Versus Sacituzumab Govitecan in Combination With Pembrolizumab for Participants With Metastatic Non-small Cell Lung Cancer (NSCLC) With Programmed Cell Death Ligand 1 (PD-L1) Tumor Proportion Score (TPS) ≥50% (MK-3475-D46),Merck Sharp & Dohme LLC,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
39,NCT05611801,A Clinical Trial of Study Medicine (Marstacimab) in Pediatric Patients With Hemophilia A or Hemophilia B,Pfizer,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
40,NCT06734702,Neoadjuvant Immunotherapy Plus Chemotherapy Followed by Concurrent Chemoradiotherapy and Consolidative Immunotherapy for Locally Advanced Non-small Cell Lung Cancer,Sun Yat-sen University,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
