gamma,beta,expected_cost
0.0,0.0,-0.06118
0.0,0.0,-0.0589
0.0,0.0,-0.05986
0.0,0.125,-0.059820000000000005
0.0,0.25,-0.058960000000000005
0.0,0.0,-0.059599999999999986
0.0,0.0,-0.05977999999999999
0.0,0.0,-0.058280000000000005
0.0,0.125,-0.06096
0.0,0.25,-0.060360000000000004
0.0,0.0,-0.06008000000000001
0.0,0.0,-0.060020000000000004
0.0,0.0,-0.060919999999999995
0.0,0.125,-0.05913999999999999
0.0,0.25,-0.059480000000000005
0.125,0.0,-0.05856
0.125,0.0,-0.060219999999999996
0.125,0.0,-0.05897999999999999
0.125,0.125,-0.06144000000000001
0.125,0.25,-0.059320000000000005
0.25,0.0,-0.06004
0.25,0.0,-0.060379999999999996
0.25,0.0,-0.06053999999999998
0.25,0.125,-0.05789999999999999
0.25,0.25,-0.06266000000000001
