bitstring,count,prob,k,return,risk,cost
11111,330,0.165,5,0.55,0.54,45.058
00000,319,0.1595,0,0.0,0.0,0.0
00010,131,0.0655,1,0.07,0.05,-15.03
11101,130,0.065,4,0.48,0.42999999999999994,11.992000000000004
01111,129,0.0645,4,0.43,0.38,11.986000000000004
01000,120,0.06,1,0.1,0.06,-15.052
11110,117,0.0585,4,0.44000000000000006,0.4,11.992000000000003
00100,116,0.058,1,0.15,0.07,-15.094
11011,111,0.0555,4,0.4,0.35000000000000003,11.960000000000003
10000,110,0.055,1,0.12,0.08,-15.056
10111,104,0.052,4,0.45,0.38,11.950000000000003
00001,96,0.048,1,0.11,0.06,-15.062
10110,15,0.0075,3,0.34,0.24,-9.115999999999998
11001,13,0.0065,3,0.33,0.26,-9.073999999999998
01100,13,0.0065,2,0.25,0.17,-18.082
01001,12,0.006,2,0.21000000000000002,0.12,-18.113999999999997
00111,12,0.006,3,0.33,0.26,-9.057999999999998
11100,12,0.006,3,0.37,0.31000000000000005,-9.041999999999998
00101,11,0.0055,2,0.26,0.17,-18.092
11000,10,0.005,2,0.22,0.18,-18.043999999999997
11010,9,0.0045,3,0.29000000000000004,0.25,-9.041999999999998
01101,9,0.0045,3,0.36,0.27,-9.079999999999998
10100,9,0.0045,2,0.27,0.16999999999999998,-18.118
00110,8,0.004,2,0.22,0.14,-18.092
01110,8,0.004,3,0.32,0.26,-9.047999999999998
01011,8,0.004,3,0.28,0.21000000000000002,-9.079999999999998
10011,8,0.004,3,0.3,0.22999999999999998,-9.083999999999998
10010,7,0.0035,2,0.19,0.13,-18.086
10001,7,0.0035,2,0.22999999999999998,0.15999999999999998,-18.086
01010,6,0.003,2,0.17,0.13,-18.049999999999997
00011,5,0.0025,2,0.18,0.13,-18.06
10101,5,0.0025,3,0.38,0.29000000000000004,-9.083999999999998
